Type,Source,Destination,Size (Bytes),Alt Text,Anchor,Status Code,Status,Follow,Target,Rel,Path Type,Link Path,Link Position,Link Origin,Link mapping status,Internal contentful match,Link context summary,Replacement link,Replacement reasoning
Hyperlink,https://prd.quadient.mmt.digital/en-us/terms-conditions,https://prd.quadient.mmt.digital/en-us/quadient.com/en-us/security-privacy-compliance,0,,PRIVACY POLICY,404,OK,1,,,Root-Relative,//body/main/div/section/div/p[5]/a,Content,HTML,replacement suggested,,"Found on https://prd.quadient.mmt.digital/en-us/terms-conditions with anchor ""PRIVACY POLICY"" pointing to https://prd.quadient.mmt.digital/en-us/quadient.com/en-us/security-privacy-compliance at //body/main/div/section/div/p[5]/a targeting ""PRIVACY POLICY Privacy Policy"".",https://prd.quadient.mmt.digital/en-us/privacy-compliance,"Original 404 destination appears to target ""PRIVACY POLICY Privacy Policy"". ""Quadient digital trust center"" is the closest new-site match. Shared topic terms include privacy, compliance. Signals: new terminal slug contained in old slug; strong URL token overlap."
Hyperlink,https://prd.quadient.mmt.digital/en-us/terms-conditions,https://prd.quadient.mmt.digital/en-us/quadient.com/en-us/security-privacy-compliance,0,,Privacy Policy,404,OK,1,,,Root-Relative,//body/main/div/section/div/p[41]/a[1],Content,HTML,replacement suggested,,"Found on https://prd.quadient.mmt.digital/en-us/terms-conditions with anchor ""Privacy Policy"" pointing to https://prd.quadient.mmt.digital/en-us/quadient.com/en-us/security-privacy-compliance at //body/main/div/section/div/p[41]/a[1] targeting ""PRIVACY POLICY Privacy Policy"".",https://prd.quadient.mmt.digital/en-us/privacy-compliance,"Original 404 destination appears to target ""PRIVACY POLICY Privacy Policy"". ""Quadient digital trust center"" is the closest new-site match. Shared topic terms include privacy, compliance. Signals: new terminal slug contained in old slug; strong URL token overlap."
Hyperlink,https://prd.quadient.mmt.digital/en-us/terms-conditions,https://prd.quadient.mmt.digital/en-us/quadient.com/en-us/security-privacy-compliance,0,,Privacy Policy,404,OK,1,,,Root-Relative,//body/main/div/section/div/p[41]/a[2],Content,HTML,replacement suggested,,"Found on https://prd.quadient.mmt.digital/en-us/terms-conditions with anchor ""Privacy Policy"" pointing to https://prd.quadient.mmt.digital/en-us/quadient.com/en-us/security-privacy-compliance at //body/main/div/section/div/p[41]/a[2] targeting ""PRIVACY POLICY Privacy Policy"".",https://prd.quadient.mmt.digital/en-us/privacy-compliance,"Original 404 destination appears to target ""PRIVACY POLICY Privacy Policy"". ""Quadient digital trust center"" is the closest new-site match. Shared topic terms include privacy, compliance. Signals: new terminal slug contained in old slug; strong URL token overlap."
Hyperlink,https://prd.quadient.mmt.digital/en-us/terms-conditions,https://prd.quadient.mmt.digital/en-us/quadient.com/en-us/security-privacy-compliance,0,,Privacy Policy,404,OK,1,,,Root-Relative,//body/main/div/section/div/p[41]/a[3],Content,HTML,replacement suggested,,"Found on https://prd.quadient.mmt.digital/en-us/terms-conditions with anchor ""Privacy Policy"" pointing to https://prd.quadient.mmt.digital/en-us/quadient.com/en-us/security-privacy-compliance at //body/main/div/section/div/p[41]/a[3] targeting ""PRIVACY POLICY Privacy Policy"".",https://prd.quadient.mmt.digital/en-us/privacy-compliance,"Original 404 destination appears to target ""PRIVACY POLICY Privacy Policy"". ""Quadient digital trust center"" is the closest new-site match. Shared topic terms include privacy, compliance. Signals: new terminal slug contained in old slug; strong URL token overlap."
Hyperlink,https://prd.quadient.mmt.digital/en-us/terms-conditions,https://prd.quadient.mmt.digital/en-us/quadient.com/en-us/security-privacy-compliance,0,,Privacy Policy,404,OK,1,,,Root-Relative,//body/main/div/section/div/p[41]/a[4],Content,HTML,replacement suggested,,"Found on https://prd.quadient.mmt.digital/en-us/terms-conditions with anchor ""Privacy Policy"" pointing to https://prd.quadient.mmt.digital/en-us/quadient.com/en-us/security-privacy-compliance at //body/main/div/section/div/p[41]/a[4] targeting ""PRIVACY POLICY Privacy Policy"".",https://prd.quadient.mmt.digital/en-us/privacy-compliance,"Original 404 destination appears to target ""PRIVACY POLICY Privacy Policy"". ""Quadient digital trust center"" is the closest new-site match. Shared topic terms include privacy, compliance. Signals: new terminal slug contained in old slug; strong URL token overlap."
Hyperlink,https://prd.quadient.mmt.digital/en-us/terms-conditions,https://prd.quadient.mmt.digital/en-us/quadient.com/en-us/security-privacy-compliance,0,,Privacy Policy,404,OK,1,,,Root-Relative,//body/main/div/section/div/p[79]/a,Content,HTML,replacement suggested,,"Found on https://prd.quadient.mmt.digital/en-us/terms-conditions with anchor ""Privacy Policy"" pointing to https://prd.quadient.mmt.digital/en-us/quadient.com/en-us/security-privacy-compliance at //body/main/div/section/div/p[79]/a targeting ""PRIVACY POLICY Privacy Policy"".",https://prd.quadient.mmt.digital/en-us/privacy-compliance,"Original 404 destination appears to target ""PRIVACY POLICY Privacy Policy"". ""Quadient digital trust center"" is the closest new-site match. Shared topic terms include privacy, compliance. Signals: new terminal slug contained in old slug; strong URL token overlap."
Hyperlink,https://prd.quadient.mmt.digital/en-us/terms-conditions,https://prd.quadient.mmt.digital/en-us/quadient.com/en-us/security-privacy-compliance,0,,Privacy Policy,404,OK,1,,,Root-Relative,//body/main/div/section/div/p[83]/a[1],Content,HTML,replacement suggested,,"Found on https://prd.quadient.mmt.digital/en-us/terms-conditions with anchor ""Privacy Policy"" pointing to https://prd.quadient.mmt.digital/en-us/quadient.com/en-us/security-privacy-compliance at //body/main/div/section/div/p[83]/a[1] targeting ""PRIVACY POLICY Privacy Policy"".",https://prd.quadient.mmt.digital/en-us/privacy-compliance,"Original 404 destination appears to target ""PRIVACY POLICY Privacy Policy"". ""Quadient digital trust center"" is the closest new-site match. Shared topic terms include privacy, compliance. Signals: new terminal slug contained in old slug; strong URL token overlap."
Hyperlink,https://prd.quadient.mmt.digital/en-us/terms-conditions,https://prd.quadient.mmt.digital/en-us/quadient.com/en-us/security-privacy-compliance,0,,Privacy Policy,404,OK,1,,,Root-Relative,//body/main/div/section/div/p[83]/a[2],Content,HTML,replacement suggested,,"Found on https://prd.quadient.mmt.digital/en-us/terms-conditions with anchor ""Privacy Policy"" pointing to https://prd.quadient.mmt.digital/en-us/quadient.com/en-us/security-privacy-compliance at //body/main/div/section/div/p[83]/a[2] targeting ""PRIVACY POLICY Privacy Policy"".",https://prd.quadient.mmt.digital/en-us/privacy-compliance,"Original 404 destination appears to target ""PRIVACY POLICY Privacy Policy"". ""Quadient digital trust center"" is the closest new-site match. Shared topic terms include privacy, compliance. Signals: new terminal slug contained in old slug; strong URL token overlap."
Hyperlink,https://prd.quadient.mmt.digital/en-us/terms-conditions,https://prd.quadient.mmt.digital/en-us/quadient.com/en-us/security-privacy-compliance,0,,Privacy Policy,404,OK,1,,,Root-Relative,//body/main/div/section/div/p[83]/a[3],Content,HTML,replacement suggested,,"Found on https://prd.quadient.mmt.digital/en-us/terms-conditions with anchor ""Privacy Policy"" pointing to https://prd.quadient.mmt.digital/en-us/quadient.com/en-us/security-privacy-compliance at //body/main/div/section/div/p[83]/a[3] targeting ""PRIVACY POLICY Privacy Policy"".",https://prd.quadient.mmt.digital/en-us/privacy-compliance,"Original 404 destination appears to target ""PRIVACY POLICY Privacy Policy"". ""Quadient digital trust center"" is the closest new-site match. Shared topic terms include privacy, compliance. Signals: new terminal slug contained in old slug; strong URL token overlap."
Hyperlink,https://prd.quadient.mmt.digital/en-us/blog/how-insurance-companies-can-decide-which-cx-metrics-use,https://prd.quadient.mmt.digital/en-us/blog/customer-experience-metrics,0,,the right Customer experience (CX) KPIs,404,OK,1,,,Root-Relative,//body/main/div[1]/section[2]/div/p[1]/a,Content,HTML,replacement suggested,,"Found on https://prd.quadient.mmt.digital/en-us/blog/how-insurance-companies-can-decide-which-cx-metrics-use with anchor ""the right Customer experience (CX) KPIs"" pointing to https://prd.quadient.mmt.digital/en-us/blog/customer-experience-metrics at //body/main/div[1]/section[2]/div/p[1]/a targeting ""the right Customer experience (CX) KPIs"".",https://prd.quadient.mmt.digital/en-us/blog/five-critical-errors-customer-experience-teams,"Original 404 destination appears to target ""the right Customer experience (CX) KPIs"". ""The five critical errors of customer experience teams"" is the closest new-site match. Shared topic terms include customer, experience, blog. It stays within the customer communications area. Signals: strong URL token overlap; keeps blog/article destination type; matches customer communications topic."
Hyperlink,https://prd.quadient.mmt.digital/en-us/blog/how-insurance-companies-can-decide-which-cx-metrics-use,https://prd.quadient.mmt.digital/en-us/resources/essential-checklist-customer-journey-mapping,0,,The Essential Checklist for Customer Journey Mapping,404,OK,1,,,Root-Relative,//body/main/div[1]/section[2]/div/h3/a[2],Content,HTML,replacement suggested,,"Found on https://prd.quadient.mmt.digital/en-us/blog/how-insurance-companies-can-decide-which-cx-metrics-use with anchor ""The Essential Checklist for Customer Journey Mapping"" pointing to https://prd.quadient.mmt.digital/en-us/resources/essential-checklist-customer-journey-mapping at //body/main/div[1]/section[2]/div/h3/a[2] targeting ""Essential CJM Checklist for great CX"".",https://prd.quadient.mmt.digital/en-us/learn/customer-communications/customer-journey,"Original 404 destination appears to target ""Essential CJM Checklist for great CX"". ""What is customer journey?"" is the closest new-site match. Shared topic terms include customer, journey, mapping, mapp. It stays within the customer communications area. It also matches the ebook paper intent. Signals: new terminal slug contained in old slug; matches customer communications topic."
Hyperlink,https://prd.quadient.mmt.digital/en-us/blog/improving-customer-experience-customer-journey-mapping-cjm,https://prd.quadient.mmt.digital/en-us/resources/essential-checklist-customer-journey-mapping,0,,"""",404,OK,1,,,Root-Relative,//body/main/div[1]/section[2]/div/h3/a[1],Content,HTML,replacement suggested,,"Found on https://prd.quadient.mmt.digital/en-us/blog/improving-customer-experience-customer-journey-mapping-cjm with anchor """""" pointing to https://prd.quadient.mmt.digital/en-us/resources/essential-checklist-customer-journey-mapping at //body/main/div[1]/section[2]/div/h3/a[1] targeting ""Essential CJM Checklist for great CX"".",https://prd.quadient.mmt.digital/en-us/learn/customer-communications/customer-journey,"Original 404 destination appears to target ""Essential CJM Checklist for great CX"". ""What is customer journey?"" is the closest new-site match. Shared topic terms include customer, journey, mapping, mapp. It stays within the customer communications area. It also matches the ebook paper intent. Signals: new terminal slug contained in old slug; matches customer communications topic."
Hyperlink,https://prd.quadient.mmt.digital/en-us/blog/improving-customer-experience-customer-journey-mapping-cjm,https://prd.quadient.mmt.digital/en-us/resources/essential-checklist-customer-journey-mapping,0,,"The Essential Checklist for Customer Journey Mapping""",404,OK,1,,,Root-Relative,//body/main/div[1]/section[2]/div/h3/a[2],Content,HTML,replacement suggested,,"Found on https://prd.quadient.mmt.digital/en-us/blog/improving-customer-experience-customer-journey-mapping-cjm with anchor ""The Essential Checklist for Customer Journey Mapping"""" pointing to https://prd.quadient.mmt.digital/en-us/resources/essential-checklist-customer-journey-mapping at //body/main/div[1]/section[2]/div/h3/a[2] targeting ""Essential CJM Checklist for great CX"".",https://prd.quadient.mmt.digital/en-us/learn/customer-communications/customer-journey,"Original 404 destination appears to target ""Essential CJM Checklist for great CX"". ""What is customer journey?"" is the closest new-site match. Shared topic terms include customer, journey, mapping, mapp. It stays within the customer communications area. It also matches the ebook paper intent. Signals: new terminal slug contained in old slug; matches customer communications topic."
Hyperlink,https://prd.quadient.mmt.digital/en-us/learn/accounts-receivable/how-ar-automation-affects-cash-flow,https://prd.quadient.mmt.digital/en-us/en/resources/finance-leaders-guide-mastering-accounts-receivable,0,,Featured Resource: Credit 2 Cash eBook,404,OK,1,,,Root-Relative,//body/main/div[@class='container-custom']/div/div/section[2]/div/h3[@id='featured-resource-credit-2-cash-ebook']/a,Content,HTML,replacement suggested,,"Found on https://prd.quadient.mmt.digital/en-us/learn/accounts-receivable/how-ar-automation-affects-cash-flow with anchor ""Featured Resource: Credit 2 Cash eBook"" pointing to https://prd.quadient.mmt.digital/en-us/en/resources/finance-leaders-guide-mastering-accounts-receivable at //body/main/div[@class='container-custom']/div/div/section[2]/div/h3[@id='featured-resource-credit-2-cash-ebook']/a targeting ""The Finance Leader's Guide to Mastering Accounts Receivable"".",https://prd.quadient.mmt.digital/en-us/ebooks-papers/finance-leaders-guide-automating-ap-and-ar,"Original 404 destination appears to target ""The Finance Leader's Guide to Mastering Accounts Receivable"". ""Finance Leader's Guide to Automating AP and AR"" is the closest new-site match. Shared topic terms include finance, leaders, leader, accounts, account. It stays within the accounts receivable area. It also matches the ebook paper intent. Signals: strong title/topic token overlap; matches downloadable resource type; matches accounts receivable topic."
